,6ME6_lig-to-AF_6ME7,6ME9_lig-to-AF_6ME7,6ME8_lig-to-AF_6ME7,6ME7_lig-to-AF_6ME7
0,5.303688947446402,3.0875521189269026,5.260118673083896,5.399015097752863
1,1.1872785117824685,3.5440863437871806,1.1887296837344075,1.2693397054797404
2,5.609299922436878,3.573922587499048,5.563236108790215,5.720709147824269
3,2.599030646712707,5.568568014873001,2.644531376182621,2.6294190695707083
4,6.482858147930454,5.875328544690044,6.582831116750328,6.458417140470193
5,1.0802120241650814,3.4287559677086583,1.0648929176550208,1.089732294936417
6,5.075183801061931,3.26461563599892,5.1050380114176965,5.101125440351569
7,1.20806437732218,2.306237357840221,1.2471083161180432,1.2778820872303418
8,5.307835401583447,6.415198689095287,5.2593112178834875,5.405699285996518
9,4.93122931312961,6.24480199423198,4.952089752092087,4.955384530325099
10,2.5298810964569745,5.362320162092798,2.5955739830626303,2.519936121258797
11,5.601596909207889,3.58995072018837,5.558943084743768,5.715821451957962
12,1.3556171244969712,5.338677279221964,1.3666568574080462,1.3584177700721953
13,6.535818657365021,4.796479873447642,6.64044196729427,6.539084734096472
14,4.090123255341265,6.423211309656687,4.092774292660653,4.177058989130531
15,6.552045276847635,4.1661164444948815,6.667551641141965,6.52962614591314
16,1.6250962672465967,5.112814283842416,1.518977681111643,1.7168578021412044
17,2.5675016396103727,2.251415188451886,2.5513752133281917,2.7322047849895874
18,4.556185281162186,5.654679181447737,4.57410255482954,4.58992311331717
19,4.016620772097957,4.459009062972022,4.022353582719804,4.094525660858905
20,2.0990403770677966,6.239153692686075,2.15919977421121,2.1630816777564688
21,2.3328252623627392,2.840942981377679,2.383361237015763,2.384083814874677
22,2.430332832000829,1.7274103340520888,2.430379601824445,2.4912667369140435
23,4.947324545613122,6.361385585776678,5.010404568989392,5.078316086180069
24,6.588392230882651,1.7638925749580845,6.688716118140124,6.556220379617476
25,4.998982753104236,3.222555686417291,5.028830671732225,5.026382654629808
26,1.6078499213815212,5.085252122980604,1.5082107123458242,1.672075923981559
27,4.079999456087512,5.738726488465142,4.082437459034173,4.16220200071134
28,5.087913622762465,5.362107621753034,5.117119290655878,5.113972915397816
29,1.7503444915475161,4.409810264143363,1.6568171258213078,1.8237896633252888
30,4.38828599131138,3.3323695470276,4.473340043135389,4.478462876390206
31,5.539158827610599,5.924448764387109,5.497836380844918,5.6439664458543115
32,1.4842763667070658,3.661786921377204,1.4630607837470906,1.6455687144171391
33,5.424261396051924,5.771475600425038,5.383920232570671,5.5467192180320275
34,5.135694960222592,4.012004414316265,5.152267499486259,5.171475447440789
35,3.250571217923111,4.714836221186422,3.2205353281965956,3.402409698978896
36,4.42252326251077,4.941091330047655,4.486729961005249,4.543068975249872
37,6.033783696300386,6.023876680721683,6.049756693980614,6.059340546471614
38,4.966763252833707,6.01295019721996,5.031066393076815,5.094436827384828
39,6.392895842279728,6.85591327459798,6.439251880410513,6.42468699139811
40,1.9973647964456966,6.123474912778066,1.9477896862687374,2.0913401281904496
41,4.284565788620875,5.914130346037164,4.294334444392199,4.367223779728197
42,4.565253670107484,4.6390789840508715,4.590060219785763,4.624494371442813
43,6.512985212588322,4.9197403038513805,6.612470831206736,6.4981044183895005
44,3.20487592360871,5.9885355567384515,3.1706161448367194,3.3633378573261896
45,5.294482161831735,4.897312988637406,5.324912872810054,5.321396311686596
46,2.6447020960812173,5.917260068197947,2.692696991135628,2.692570183283154
47,2.596405055574828,4.4185901799220915,2.596518989689139,2.772717264871718
48,4.301242686170151,5.6679604843018865,4.385034636110266,4.373243902818961
49,2.2979963140745485,5.334408505356792,2.3017681246330195,2.4175668471072123
50,5.036852912004777,5.7618658360558355,5.107333220412007,5.1639519596689425
51,2.409601532570009,5.7441312168564425,2.368764766016494,2.487996288461416
52,4.395198645682691,6.062048265384055,4.483988475077076,4.4839326640684956
53,4.23922581982834,5.162695175647493,4.238643688878493,4.335408118921839
54,5.663956892228655,4.280776976284285,5.6238560695438515,5.792805650033017
55,4.59354177911601,5.299650243785774,4.676668537122019,4.616352566099643
56,1.5093501610641975,6.099331721673348,1.4687019914590804,1.646064674383157
57,4.98470688686451,5.802457603591801,4.996371121250676,5.034157096487478
58,6.373614898707879,4.226208421456395,6.432689422818248,6.409901156616595
59,4.5939994666328525,5.844897735579052,4.669798867733292,4.632613345018322
60,4.33545212620908,5.788751788212341,4.380984885304394,4.463054091382375
61,5.137131211881492,6.074506116886119,5.226350036445587,5.245545804149336
62,2.1821440242333177,5.69569183848084,2.188824155288227,2.2971010377662324
63,5.12017638438625,6.325053393344421,5.211684099753586,5.236561664035129
64,3.352812494535058,6.435506994631776,3.3559390207842106,3.4912396129092955
65,2.029201506133095,6.248236219427797,1.972819350788192,2.090720649962861
66,4.845629654114636,5.1645220983951186,4.9432820022564785,4.864561352900916
67,6.400318970003269,5.6946270229698275,6.518715276109563,6.359424747035791
68,5.037613761761278,5.753161490612167,5.115493939018924,5.170573935931616
69,2.8398958709598987,5.860995552707227,2.8502586718035596,2.927325587897743
70,5.171102845563857,4.73030936600371,5.123294188165679,5.288727191940771
71,5.011922018707537,5.338378118816006,5.120935779775164,5.036176007049502
72,5.287220308649033,5.010546388168644,5.2633268510184905,5.3978882363240475
73,5.26412796883574,5.854458975118936,5.227931555659904,5.385008523542604
74,4.9056185889477,5.749041258260953,5.005835759033176,4.9392871023618525
75,5.98939501518097,4.740673787275803,6.000479005440098,6.052275855783093
76,4.940253738523694,5.166202880561612,4.927840438856875,5.022875849736474
77,5.375097535832487,4.695977583694357,5.454202760654535,5.372518321767549
78,4.49036437501274,4.534569709790683,4.57343654434489,4.549705472245376
79,4.425735335010865,5.700848669895825,4.5095702780992655,4.467942168755209
80,5.1058189051356875,4.82187677598874,5.175721075100969,5.25679701053382
81,5.100077186487586,5.916797538043375,5.174263134495985,5.2347274057437225
82,5.613236635353098,4.620069439039755,5.604171488810467,5.695747870831198
83,4.575276737427498,4.534776304414353,4.623039199388009,4.686232139575373
84,6.985173777641559,4.934056858747283,7.056575067113814,6.96282256229376
